event_id,customer_id,product_id,event_type,event_date,device_type,session_id,created_at
1,1,923,view,2024-07-29,mobile,session_71343,2024-07-29
2,1,210,cart_remove,2024-12-13,tablet,session_96329,2024-12-13
3,1,213,purchase,2024-05-18,desktop,session_34523,2024-05-18
4,1,660,search,2024-10-22,tablet,session_90627,2024-10-22
5,1,613,cart_remove,2024-04-17,mobile,session_44505,2024-04-17
6,1,428,view,2024-12-01,desktop,session_83718,2024-12-01
7,1,58,wishlist_add,2024-04-29,tablet,session_31199,2024-04-29
8,1,419,cart_remove,2024-11-16,mobile,session_77644,2024-11-16
9,1,950,search,2024-07-31,tablet,session_73392,2024-07-31
10,1,559,search,2024-07-15,mobile,session_15626,2024-07-15
11,1,634,search,2024-03-21,desktop,session_65166,2024-03-21
12,1,273,search,2024-06-01,tablet,session_62144,2024-06-01
13,1,768,purchase,2024-08-23,tablet,session_12899,2024-08-23
14,1,616,purchase,2024-11-06,desktop,session_12805,2024-11-06
15,1,597,search,2024-03-27,tablet,session_96770,2024-03-27
16,1,664,cart_remove,2024-03-10,mobile,session_12708,2024-03-10
17,1,604,search,2024-04-09,mobile,session_47384,2024-04-09
18,1,68,purchase,2024-06-14,tablet,session_52179,2024-06-14
19,2,203,cart_remove,2024-11-07,tablet,session_29249,2024-11-07
20,2,344,cart_remove,2024-08-17,mobile,session_58969,2024-08-17
21,2,418,search,2024-10-31,desktop,session_81727,2024-10-31
22,2,854,wishlist_add,2024-09-22,tablet,session_11738,2024-09-22
23,2,55,view,2024-07-16,mobile,session_95630,2024-07-16
24,2,858,view,2024-12-06,desktop,session_37664,2024-12-06
25,2,794,cart_add,2024-10-21,mobile,session_34540,2024-10-21
26,2,78,search,2024-09-29,tablet,session_99596,2024-09-29
27,2,782,wishlist_add,2024-09-27,tablet,session_14872,2024-09-27
28,2,799,cart_add,2024-07-17,mobile,session_25216,2024-07-17
29,2,484,purchase,2024-12-09,desktop,session_61530,2024-12-09
30,2,908,cart_add,2024-11-07,mobile,session_45299,2024-11-07
31,2,521,view,2024-11-01,tablet,session_57125,2024-11-01
32,2,119,purchase,2024-11-14,mobile,session_30884,2024-11-14
33,2,881,search,2024-09-27,mobile,session_73490,2024-09-27
34,2,843,wishlist_add,2024-09-27,mobile,session_41826,2024-09-27
35,2,461,purchase,2024-07-29,tablet,session_37869,2024-07-29
36,2,640,wishlist_add,2024-10-09,desktop,session_97734,2024-10-09
37,2,724,search,2024-11-30,desktop,session_90998,2024-11-30
38,2,945,purchase,2024-08-09,desktop,session_14843,2024-08-09
39,2,134,cart_add,2024-10-30,mobile,session_94009,2024-10-30
40,2,486,cart_remove,2024-11-10,tablet,session_98453,2024-11-10
41,2,473,search,2024-08-05,desktop,session_44623,2024-08-05
42,2,454,view,2024-08-19,tablet,session_30182,2024-08-19
43,3,998,cart_add,2024-09-06,desktop,session_51422,2024-09-06
44,3,690,search,2024-11-24,mobile,session_55120,2024-11-24
45,3,540,cart_add,2024-10-14,desktop,session_66717,2024-10-14
46,3,554,purchase,2024-10-27,desktop,session_75699,2024-10-27
47,3,275,wishlist_add,2024-12-03,mobile,session_55117,2024-12-03
48,3,690,cart_remove,2024-10-13,tablet,session_56822,2024-10-13
49,3,925,cart_add,2024-09-30,mobile,session_76705,2024-09-30
50,3,242,search,2024-10-08,mobile,session_60354,2024-10-08
51,3,462,search,2024-12-07,mobile,session_13207,2024-12-07
52,3,609,wishlist_add,2024-11-17,mobile,session_45045,2024-11-17
53,3,114,wishlist_add,2024-10-20,tablet,session_31994,2024-10-20
54,3,735,wishlist_add,2024-11-09,mobile,session_76866,2024-11-09
55,3,837,view,2024-10-16,desktop,session_15893,2024-10-16
56,3,460,view,2024-08-23,desktop,session_55010,2024-08-23
57,3,457,cart_remove,2024-10-01,mobile,session_94026,2024-10-01
58,3,558,cart_remove,2024-09-19,desktop,session_41282,2024-09-19
59,3,890,wishlist_add,2024-09-22,tablet,session_76809,2024-09-22
60,3,147,cart_add,2024-09-30,tablet,session_44800,2024-09-30
61,3,226,purchase,2024-11-06,tablet,session_47507,2024-11-06
62,4,156,wishlist_add,2024-01-07,desktop,session_47571,2024-01-07
63,4,188,view,2024-10-04,tablet,session_50811,2024-10-04
64,4,689,view,2024-02-19,mobile,session_97340,2024-02-19
65,4,848,wishlist_add,2024-08-28,desktop,session_35667,2024-08-28
66,4,580,view,2024-04-15,mobile,session_89083,2024-04-15
67,4,269,cart_remove,2024-11-20,tablet,session_23881,2024-11-20
68,4,827,view,2024-10-22,tablet,session_23690,2024-10-22
69,4,769,wishlist_add,2024-06-10,tablet,session_25810,2024-06-10
70,4,716,search,2023-11-22,tablet,session_67786,2023-11-22
71,4,808,cart_remove,2024-10-24,tablet,session_90850,2024-10-24
72,4,796,cart_remove,2024-02-07,tablet,session_46622,2024-02-07
73,4,464,cart_add,2023-11-04,tablet,session_78746,2023-11-04
74,4,340,view,2024-12-05,tablet,session_35028,2024-12-05
75,4,983,purchase,2023-12-17,desktop,session_47855,2023-12-17
76,4,993,search,2023-09-21,tablet,session_90549,2023-09-21
77,4,333,wishlist_add,2024-04-04,tablet,session_21419,2024-04-04
78,4,863,search,2023-09-23,desktop,session_24148,2023-09-23
79,4,141,purchase,2024-08-12,mobile,session_67866,2024-08-12
80,4,776,wishlist_add,2024-08-03,mobile,session_35385,2024-08-03
81,4,353,view,2024-02-23,mobile,session_81500,2024-02-23
82,5,482,view,2024-10-17,tablet,session_78126,2024-10-17
83,5,773,search,2023-12-23,desktop,session_67473,2023-12-23
84,5,69,cart_remove,2023-04-29,desktop,session_99712,2023-04-29
85,5,470,search,2024-03-18,mobile,session_71646,2024-03-18
86,5,141,search,2023-10-03,desktop,session_93344,2023-10-03
87,5,749,wishlist_add,2023-11-27,mobile,session_77735,2023-11-27
88,5,41,search,2024-07-17,desktop,session_76275,2024-07-17
89,5,869,view,2024-03-20,mobile,session_92818,2024-03-20
90,5,173,purchase,2023-04-20,tablet,session_97202,2023-04-20
91,5,108,wishlist_add,2024-05-24,mobile,session_50255,2024-05-24
92,5,875,search,2023-12-07,tablet,session_17309,2023-12-07
93,5,188,cart_remove,2024-07-23,desktop,session_20655,2024-07-23
94,5,806,wishlist_add,2024-10-12,tablet,session_51689,2024-10-12
95,5,999,purchase,2023-07-03,desktop,session_68592,2023-07-03
96,5,105,purchase,2024-08-17,desktop,session_93911,2024-08-17
97,5,55,cart_remove,2023-02-15,desktop,session_96933,2023-02-15
98,5,732,cart_add,2023-03-25,mobile,session_12600,2023-03-25
99,5,742,cart_remove,2024-02-01,tablet,session_74237,2024-02-01
100,5,989,view,2023-11-20,desktop,session_92341,2023-11-20
101,5,264,cart_remove,2024-07-15,mobile,session_91418,2024-07-15
102,5,216,search,2024-01-29,mobile,session_65503,2024-01-29
103,5,731,cart_remove,2024-08-26,mobile,session_84092,2024-08-26
104,5,483,purchase,2023-04-24,desktop,session_64494,2023-04-24
105,5,369,view,2024-06-29,desktop,session_14553,2024-06-29
106,5,121,search,2024-06-08,desktop,session_69116,2024-06-08
107,5,891,view,2023-08-20,tablet,session_41689,2023-08-20
108,5,250,search,2024-01-09,mobile,session_24301,2024-01-09
109,5,736,purchase,2023-07-12,desktop,session_44296,2023-07-12
110,5,594,search,2023-12-19,tablet,session_32600,2023-12-19
111,5,583,cart_add,2023-08-12,mobile,session_77676,2023-08-12
112,6,382,purchase,2023-07-19,desktop,session_47876,2023-07-19
113,6,579,cart_remove,2024-05-12,mobile,session_20166,2024-05-12
114,6,807,wishlist_add,2023-09-04,desktop,session_70978,2023-09-04
115,6,173,cart_add,2024-02-23,mobile,session_23459,2024-02-23
116,6,685,search,2024-03-07,desktop,session_77413,2024-03-07
117,6,853,cart_add,2024-07-17,desktop,session_74987,2024-07-17
118,6,206,cart_add,2023-07-18,desktop,session_23059,2023-07-18
119,6,250,cart_remove,2024-09-09,tablet,session_14364,2024-09-09
120,6,270,search,2023-10-02,tablet,session_19734,2023-10-02
121,6,199,wishlist_add,2023-07-07,desktop,session_92748,2023-07-07
122,6,128,wishlist_add,2024-09-30,desktop,session_48895,2024-09-30
123,6,91,cart_add,2024-02-27,desktop,session_46678,2024-02-27
124,6,281,view,2024-07-21,desktop,session_95138,2024-07-21
125,6,901,cart_add,2024-06-10,desktop,session_58056,2024-06-10
126,6,772,cart_remove,2024-07-03,desktop,session_62882,2024-07-03
127,6,518,search,2023-11-22,tablet,session_97027,2023-11-22
128,6,330,view,2024-10-11,desktop,session_53355,2024-10-11
129,6,330,view,2023-10-24,mobile,session_21552,2023-10-24
130,6,550,purchase,2024-02-22,tablet,session_39853,2024-02-22
131,6,881,view,2024-05-16,mobile,session_27131,2024-05-16
132,6,586,purchase,2023-12-11,mobile,session_76497,2023-12-11
133,6,48,view,2024-05-31,mobile,session_96390,2024-05-31
134,6,556,search,2024-04-06,mobile,session_32213,2024-04-06
135,6,426,view,2024-06-23,tablet,session_28574,2024-06-23
136,6,915,cart_remove,2024-01-29,mobile,session_95870,2024-01-29
137,6,488,cart_add,2024-09-15,desktop,session_43616,2024-09-15
138,6,735,cart_remove,2023-06-28,tablet,session_57211,2023-06-28
139,7,694,cart_add,2024-10-02,desktop,session_63163,2024-10-02
140,7,244,view,2024-11-18,desktop,session_39581,2024-11-18
141,7,630,view,2024-06-26,desktop,session_44909,2024-06-26
142,7,161,purchase,2024-02-21,tablet,session_89208,2024-02-21
143,7,786,wishlist_add,2023-10-26,mobile,session_93172,2023-10-26
144,7,230,cart_add,2023-11-10,mobile,session_16750,2023-11-10
145,7,309,wishlist_add,2024-05-03,desktop,session_59027,2024-05-03
146,7,233,search,2024-03-19,tablet,session_39552,2024-03-19
147,7,246,cart_remove,2023-12-08,mobile,session_56885,2023-12-08
148,8,337,cart_add,2024-03-13,tablet,session_58579,2024-03-13
149,8,463,search,2024-09-22,desktop,session_78919,2024-09-22
150,8,57,search,2023-07-03,mobile,session_37511,2023-07-03
151,8,888,search,2024-10-15,mobile,session_48939,2024-10-15
152,8,919,wishlist_add,2024-07-22,tablet,session_83471,2024-07-22
153,8,937,view,2023-03-11,mobile,session_57129,2023-03-11
154,8,382,purchase,2024-06-10,desktop,session_36534,2024-06-10
155,8,500,view,2024-07-17,mobile,session_91755,2024-07-17
156,8,287,wishlist_add,2023-06-04,tablet,session_60897,2023-06-04
157,8,673,search,2023-01-27,tablet,session_47871,2023-01-27
158,8,216,cart_remove,2023-02-06,mobile,session_69762,2023-02-06
159,8,607,view,2024-02-10,desktop,session_69635,2024-02-10
160,8,518,view,2023-12-15,mobile,session_64050,2023-12-15
161,8,468,cart_remove,2024-03-03,mobile,session_77610,2024-03-03
162,8,276,search,2024-09-27,tablet,session_15100,2024-09-27
163,8,438,wishlist_add,2024-11-18,mobile,session_80111,2024-11-18
164,8,864,search,2024-03-08,mobile,session_27441,2024-03-08
165,8,348,cart_add,2023-07-13,desktop,session_47941,2023-07-13
166,8,132,view,2023-08-01,mobile,session_41487,2023-08-01
167,8,86,view,2023-02-14,mobile,session_41336,2023-02-14
168,8,797,search,2023-04-02,desktop,session_14873,2023-04-02
169,9,108,search,2024-05-29,mobile,session_23202,2024-05-29
170,9,367,wishlist_add,2023-11-24,desktop,session_54548,2023-11-24
171,9,818,view,2024-11-11,tablet,session_21915,2024-11-11
172,9,173,purchase,2024-01-19,desktop,session_16476,2024-01-19
173,9,603,search,2023-08-21,mobile,session_24262,2023-08-21
174,9,361,cart_add,2023-07-31,desktop,session_30672,2023-07-31
175,9,946,wishlist_add,2024-10-04,tablet,session_25809,2024-10-04
176,9,926,view,2023-12-18,tablet,session_27249,2023-12-18
177,9,542,cart_remove,2024-01-05,mobile,session_27873,2024-01-05
178,9,8,cart_remove,2023-08-13,tablet,session_87938,2023-08-13
179,9,135,cart_add,2023-08-23,mobile,session_41438,2023-08-23
180,9,244,cart_add,2023-04-08,desktop,session_27236,2023-04-08
181,9,366,view,2023-05-13,desktop,session_22649,2023-05-13
182,9,597,cart_add,2023-09-28,mobile,session_78999,2023-09-28
