order_item_id,order_id,product_id,quantity,unit_price,total_price,created_at
1,1,573,3,454.94,1364.82,2024-05-18
2,1,83,3,951.2,2853.6000000000004,2024-05-18
3,1,123,3,426.02,1278.06,2024-05-18
4,2,162,2,793.12,1586.24,2024-06-29
5,2,746,2,52.02,104.04,2024-06-29
6,2,380,2,626.91,1253.82,2024-06-29
7,3,450,3,454.05,1362.15,2024-07-07
8,3,474,3,561.06,1683.1799999999998,2024-07-07
9,4,726,2,228.4,456.8,2024-08-18
10,4,31,3,651.63,1954.8899999999999,2024-08-18
11,4,337,1,397.23,397.23,2024-08-18
12,4,183,2,339.01,678.02,2024-08-18
13,4,23,3,713.8,2141.3999999999996,2024-08-18
14,5,882,2,72.57,145.14,2024-09-14
15,5,14,2,509.04,1018.08,2024-09-14
16,5,178,2,733.38,1466.76,2024-09-14
17,5,412,3,669.43,2008.29,2024-09-14
18,5,878,1,49.57,49.57,2024-09-14
19,6,471,1,84.1,84.1,2024-08-09
20,6,776,2,109.39,218.78,2024-08-09
21,6,466,1,523.75,523.75,2024-08-09
22,6,12,1,562.44,562.44,2024-08-09
23,6,631,1,146.22,146.22,2024-08-09
24,7,639,2,434.49,868.98,2024-09-06
25,7,75,3,77.16,231.48,2024-09-06
26,7,873,1,380.88,380.88,2024-09-06
27,8,861,1,775.24,775.24,2024-08-24
28,8,154,2,931.21,1862.42,2024-08-24
29,8,786,3,632.88,1898.6399999999999,2024-08-24
30,9,818,2,531.59,1063.18,2024-08-29
31,9,776,2,109.39,218.78,2024-08-29
32,9,937,2,508.53,1017.06,2024-08-29
33,10,668,2,134.73,269.46,2024-11-23
34,10,651,3,871.91,2615.73,2024-11-23
35,10,633,1,141.18,141.18,2024-11-23
36,11,923,3,612.51,1837.53,2024-11-17
37,11,674,3,86.04,258.12,2024-11-17
38,12,177,2,423.4,846.8,2024-09-07
39,12,198,2,24.8,49.6,2024-09-07
40,12,624,3,117.91,353.73,2024-09-07
41,12,568,1,113.43,113.43,2024-09-07
42,13,698,1,731.26,731.26,2024-10-01
43,13,471,3,84.1,252.29999999999998,2024-10-01
44,14,13,2,12.48,24.96,2024-11-12
45,14,101,3,135.34,406.02,2024-11-12
46,15,979,1,577.84,577.84,2024-12-30
47,15,723,1,789.73,789.73,2024-12-30
48,15,652,1,366.85,366.85,2024-12-30
49,15,293,3,70.23,210.69,2024-12-30
50,15,810,2,626.21,1252.42,2024-12-30
51,15,913,3,350.95,1052.85,2024-12-30
52,16,303,2,248.24,496.48,2024-08-30
53,16,496,2,590.94,1181.88,2024-08-30
54,16,658,3,796.16,2388.48,2024-08-30
55,16,768,3,950.03,2850.09,2024-08-30
56,17,13,3,12.48,37.44,2024-08-29
57,17,210,3,396.93,1190.79,2024-08-29
58,17,741,3,455.0,1365.0,2024-08-29
59,18,274,1,549.4,549.4,2024-05-31
60,18,3,3,650.12,1950.3600000000001,2024-05-31
61,19,488,3,445.28,1335.84,2024-01-29
62,19,822,3,421.49,1264.47,2024-01-29
63,19,438,3,611.5,1834.5,2024-01-29
64,20,235,3,562.02,1686.06,2024-10-16
65,20,227,2,436.52,873.04,2024-10-16
66,21,586,3,202.22,606.66,2024-11-22
67,21,558,2,366.64,733.28,2024-11-22
68,21,525,1,411.19,411.19,2024-11-22
69,21,677,3,184.08,552.24,2024-11-22
70,21,102,2,82.21,164.42,2024-11-22
71,22,868,3,306.69,920.0699999999999,2024-04-23
72,22,398,1,321.65,321.65,2024-04-23
73,23,17,3,772.91,2318.73,2025-01-06
74,23,780,3,110.72,332.15999999999997,2025-01-06
75,23,182,1,115.25,115.25,2025-01-06
76,24,858,1,717.86,717.86,2023-12-01
77,24,230,2,256.8,513.6,2023-12-01
78,24,833,1,102.57,102.57,2023-12-01
79,24,852,2,45.78,91.56,2023-12-01
80,25,465,3,82.08,246.24,2023-10-08
81,25,104,1,17.53,17.53,2023-10-08
82,26,972,1,249.16,249.16,2024-01-18
83,27,134,1,16.76,16.76,2023-02-18
84,27,391,3,625.86,1877.58,2023-02-18
85,28,501,3,687.34,2062.02,2024-08-15
86,29,776,3,109.39,328.17,2024-01-03
87,29,225,3,717.14,2151.42,2024-01-03
88,29,983,2,806.46,1612.92,2024-01-03
89,29,729,3,815.15,2445.45,2024-01-03
90,29,504,1,517.69,517.69,2024-01-03
91,30,195,2,451.68,903.36,2024-12-17
92,30,925,1,272.17,272.17,2024-12-17
93,30,489,2,224.62,449.24,2024-12-17
94,31,940,3,336.22,1008.6600000000001,2023-09-20
95,31,218,3,105.2,315.6,2023-09-20
96,31,516,3,328.3,984.9000000000001,2023-09-20
97,31,602,2,785.1,1570.2,2023-09-20
98,32,980,1,866.59,866.59,2024-12-05
99,32,434,2,66.35,132.7,2024-12-05
100,32,331,3,35.65,106.94999999999999,2024-12-05
101,33,233,2,662.91,1325.82,2023-10-20
102,33,529,1,458.7,458.7,2023-10-20
103,34,394,3,613.78,1841.34,2024-09-08
104,34,507,1,603.48,603.48,2024-09-08
105,35,564,2,782.35,1564.7,2024-08-24
106,35,102,1,82.21,82.21,2024-08-24
107,35,216,3,775.93,2327.79,2024-08-24
108,36,686,2,711.03,1422.06,2023-08-09
109,36,242,3,25.96,77.88,2023-08-09
110,36,794,2,460.36,920.72,2023-08-09
111,37,820,2,643.98,1287.96,2023-08-11
112,37,361,3,224.01,672.03,2023-08-11
113,38,946,2,32.82,65.64,2024-09-19
114,38,422,3,879.77,2639.31,2024-09-19
115,39,734,1,349.8,349.8,2023-04-27
116,39,3,2,650.12,1300.24,2023-04-27
117,39,990,1,904.65,904.65,2023-04-27
118,39,518,1,495.47,495.47,2023-04-27
119,40,235,2,562.02,1124.04,2024-08-24
120,40,620,2,400.81,801.62,2024-08-24
121,41,272,2,554.28,1108.56,2023-07-14
122,41,580,3,178.79,536.37,2023-07-14
123,41,867,1,475.46,475.46,2023-07-14
124,41,252,1,369.51,369.51,2023-07-14
125,41,560,1,530.8,530.8,2023-07-14
126,41,696,3,363.99,1091.97,2023-07-14
127,42,601,1,272.5,272.5,2024-02-22
128,42,274,1,549.4,549.4,2024-02-22
129,42,19,1,576.98,576.98,2024-02-22
130,42,983,2,806.46,1612.92,2024-02-22
131,43,886,1,29.51,29.51,2024-12-02
132,44,848,3,177.25,531.75,2024-11-26
133,44,450,2,454.05,908.1,2024-11-26
134,44,930,1,401.15,401.15,2024-11-26
135,45,8,3,190.93,572.79,2025-01-08
136,45,478,3,205.35,616.05,2025-01-08
137,46,854,3,776.45,2329.3500000000004,2024-12-17
138,46,93,1,505.59,505.59,2024-12-17
139,47,74,2,421.58,843.16,2024-12-08
140,47,548,2,398.98,797.96,2024-12-08
141,48,171,2,78.18,156.36,2024-12-17
142,48,981,2,12.4,24.8,2024-12-17
143,48,728,1,213.49,213.49,2024-12-17
144,49,740,3,868.26,2604.7799999999997,2024-05-06
145,49,265,2,396.36,792.72,2024-05-06
146,49,438,2,611.5,1223.0,2024-05-06
147,50,605,1,922.19,922.19,2024-10-04
148,50,327,3,683.59,2050.77,2024-10-04
149,50,753,1,338.31,338.31,2024-10-04
150,50,835,3,382.03,1146.09,2024-10-04
151,51,274,2,549.4,1098.8,2024-11-03
152,51,685,1,819.14,819.14,2024-11-03
153,51,116,1,74.26,74.26,2024-11-03
154,51,861,3,775.24,2325.7200000000003,2024-11-03
155,51,980,3,866.59,2599.77,2024-11-03
156,51,693,3,659.05,1977.1499999999999,2024-11-03
157,52,58,3,52.36,157.07999999999998,2023-02-25
158,52,154,3,931.21,2793.63,2023-02-25
159,52,877,3,362.39,1087.17,2023-02-25
160,53,315,2,410.18,820.36,2023-08-20
161,53,715,1,489.61,489.61,2023-08-20
162,54,883,1,806.64,806.64,2024-12-17
163,54,403,1,442.26,442.26,2024-12-17
164,54,109,2,356.54,713.08,2024-12-17
165,54,700,2,88.03,176.06,2024-12-17
166,55,462,2,82.93,165.86,2024-12-31
167,55,132,1,623.16,623.16,2024-12-31
168,55,791,1,708.54,708.54,2024-12-31
169,55,874,1,243.08,243.08,2024-12-31
170,56,904,1,232.64,232.64,2024-12-02
171,56,553,2,395.1,790.2,2024-12-02
172,56,368,1,621.53,621.53,2024-12-02
173,57,505,3,230.61,691.83,2024-12-12
174,57,475,2,383.72,767.44,2024-12-12
175,57,836,1,533.88,533.88,2024-12-12
176,58,367,2,653.25,1306.5,2024-12-31
177,58,280,2,262.74,525.48,2024-12-31
178,58,283,1,921.86,921.86,2024-12-31
179,59,835,3,382.03,1146.09,2024-12-25
180,59,290,3,165.14,495.41999999999996,2024-12-25
181,59,953,2,919.91,1839.82,2024-12-25
182,59,433,2,216.74,433.48,2024-12-25
183,59,471,2,84.1,168.2,2024-12-25
184,60,509,2,476.82,953.64,2023-11-29
185,60,761,1,754.66,754.66,2023-11-29
186,60,700,1,88.03,88.03,2023-11-29
187,60,566,2,931.99,1863.98,2023-11-29
188,61,964,1,102.46,102.46,2024-03-08
189,61,988,2,140.51,281.02,2024-03-08
190,62,909,1,209.84,209.84,2024-03-13
191,62,343,3,740.68,2222.04,2024-03-13
192,62,826,2,252.08,504.16,2024-03-13
193,62,306,1,69.02,69.02,2024-03-13
194,63,185,1,430.42,430.42,2024-11-14
195,63,382,2,484.12,968.24,2024-11-14
196,63,496,3,590.94,1772.8200000000002,2024-11-14
197,63,379,2,845.72,1691.44,2024-11-14
198,64,22,1,701.78,701.78,2024-05-12
199,64,213,1,536.52,536.52,2024-05-12
200,64,310,1,208.59,208.59,2024-05-12
201,65,799,3,770.18,2310.54,2024-10-23
202,65,938,3,946.24,2838.7200000000003,2024-10-23
203,65,202,1,350.6,350.6,2024-10-23
204,66,560,2,530.8,1061.6,2024-05-03
205,66,436,1,591.5,591.5,2024-05-03
206,66,111,3,570.58,1711.7400000000002,2024-05-03
207,67,833,3,102.57,307.71,2024-10-02
208,67,191,3,184.6,553.8,2024-10-02
209,67,729,2,815.15,1630.3,2024-10-02
210,68,423,3,513.38,1540.1399999999999,2023-12-10
211,68,891,1,774.69,774.69,2023-12-10
212,69,378,2,228.25,456.5,2023-10-15
213,69,167,2,699.07,1398.14,2023-10-15
214,70,340,2,795.91,1591.82,2024-09-04
215,70,308,3,225.47,676.41,2024-09-04
216,71,561,3,691.67,2075.0099999999998,2025-01-03
217,71,76,3,706.42,2119.2599999999998,2025-01-03
218,72,474,1,561.06,561.06,2024-12-29
219,72,783,2,650.9,1301.8,2024-12-29
220,72,100,2,391.33,782.66,2024-12-29
221,72,544,3,69.93,209.79000000000002,2024-12-29
222,73,78,2,225.29,450.58,2024-12-15
223,74,315,1,410.18,410.18,2023-08-10
224,74,925,2,272.17,544.34,2023-08-10
225,74,851,3,160.42,481.26,2023-08-10
226,74,902,1,705.34,705.34,2023-08-10
227,75,193,3,329.18,987.54,2024-01-17
228,75,453,2,589.05,1178.1,2024-01-17
229,75,283,2,921.86,1843.72,2024-01-17
230,76,22,3,701.78,2105.34,2024-08-22
231,76,883,3,806.64,2419.92,2024-08-22
232,76,313,2,506.37,1012.74,2024-08-22
233,76,997,1,376.56,376.56,2024-08-22
234,76,840,2,622.0,1244.0,2024-08-22
235,77,784,2,733.23,1466.46,2024-08-26
236,77,595,3,907.73,2723.19,2024-08-26
237,77,179,1,82.55,82.55,2024-08-26
238,78,464,1,39.81,39.81,2024-12-11
239,79,12,2,562.44,1124.88,2024-09-04
240,79,126,2,891.3,1782.6,2024-09-04
241,80,140,3,720.55,2161.6499999999996,2024-12-20
242,80,401,2,10.6,21.2,2024-12-20
243,81,489,2,224.62,449.24,2024-11-15
244,82,559,1,532.77,532.77,2024-03-22
245,82,679,2,705.04,1410.08,2024-03-22
246,82,452,1,98.74,98.74,2024-03-22
247,83,215,3,226.69,680.0699999999999,2025-01-08
248,83,403,2,442.26,884.52,2025-01-08
249,83,128,3,618.1,1854.3000000000002,2025-01-08
250,83,822,3,421.49,1264.47,2025-01-08
251,84,574,2,302.56,605.12,2024-05-08
252,84,669,3,591.17,1773.5099999999998,2024-05-08
253,84,202,1,350.6,350.6,2024-05-08
254,84,17,2,772.91,1545.82,2024-05-08
255,84,322,3,680.81,2042.4299999999998,2024-05-08
256,84,518,2,495.47,990.94,2024-05-08
257,85,468,1,933.43,933.43,2024-09-19
258,85,425,3,31.62,94.86,2024-09-19
259,85,945,1,654.7,654.7,2024-09-19
260,85,731,2,607.36,1214.72,2024-09-19
261,86,495,1,186.33,186.33,2024-11-21
262,86,230,3,256.8,770.4000000000001,2024-11-21
263,87,553,1,395.1,395.1,2023-08-14
264,88,108,2,650.02,1300.04,2024-06-27
265,89,834,3,657.85,1973.5500000000002,2023-11-20
266,89,414,2,205.52,411.04,2023-11-20
267,90,73,1,887.5,887.5,2023-07-31
268,90,481,3,379.39,1138.17,2023-07-31
269,90,352,3,87.63,262.89,2023-07-31
270,90,560,3,530.8,1592.3999999999999,2023-07-31
271,91,258,3,283.03,849.0899999999999,2024-11-07
272,91,413,1,563.35,563.35,2024-11-07
273,91,452,3,98.74,296.21999999999997,2024-11-07
274,92,266,1,418.59,418.59,2024-10-11
275,92,821,1,282.45,282.45,2024-10-11
276,93,790,3,126.12,378.36,2024-12-23
277,93,868,1,306.69,306.69,2024-12-23
278,93,610,3,627.67,1883.0099999999998,2024-12-23
279,93,414,3,205.52,616.5600000000001,2024-12-23
280,94,897,3,915.37,2746.11,2024-10-10
281,94,650,1,309.3,309.3,2024-10-10
282,94,420,3,534.83,1604.4900000000002,2024-10-10
283,95,166,2,277.95,555.9,2024-08-31
284,95,657,1,430.95,430.95,2024-08-31
285,95,842,3,796.63,2389.89,2024-08-31
286,95,370,2,496.41,992.82,2024-08-31
287,96,43,2,311.03,622.06,2024-11-03
288,96,377,3,13.26,39.78,2024-11-03
289,96,41,1,630.88,630.88,2024-11-03
290,96,170,1,600.4,600.4,2024-11-03
291,96,946,3,32.82,98.46000000000001,2024-11-03
292,96,212,1,159.77,159.77,2024-11-03
293,97,757,3,613.84,1841.52,2024-08-15
294,97,151,2,499.57,999.14,2024-08-15
295,98,436,3,591.5,1774.5,2023-10-23
296,99,575,1,608.89,608.89,2024-10-07
297,100,161,1,206.78,206.78,2024-02-01
298,100,331,3,35.65,106.94999999999999,2024-02-01
299,100,528,1,680.28,680.28,2024-02-01
300,100,338,3,141.64,424.91999999999996,2024-02-01
301,101,338,2,141.64,283.28,2024-11-15
302,101,550,1,590.35,590.35,2024-11-15
303,102,619,1,253.15,253.15,2023-09-27
304,102,857,2,656.14,1312.28,2023-09-27
305,102,295,1,670.38,670.38,2023-09-27
306,103,694,2,275.62,551.24,2024-05-14
307,103,549,3,74.37,223.11,2024-05-14
308,104,188,3,164.66,493.98,2024-05-30
309,104,742,1,241.26,241.26,2024-05-30
310,104,680,2,417.84,835.68,2024-05-30
311,104,420,3,534.83,1604.4900000000002,2024-05-30
312,104,626,1,571.0,571.0,2024-05-30
313,105,866,3,116.61,349.83,2024-05-30
314,105,63,2,602.41,1204.82,2024-05-30
315,105,662,1,559.95,559.95,2024-05-30
316,106,214,2,678.61,1357.22,2023-09-30
317,106,256,2,382.86,765.72,2023-09-30
318,106,135,2,382.3,764.6,2023-09-30
319,107,822,2,421.49,842.98,2024-10-27
320,108,988,2,140.51,281.02,2023-06-30
321,109,823,1,617.89,617.89,2024-03-07
322,110,925,3,272.17,816.51,2024-05-17
323,110,645,3,236.63,709.89,2024-05-17
324,110,714,1,282.71,282.71,2024-05-17
325,111,890,1,790.33,790.33,2024-10-13
326,111,52,3,539.01,1617.03,2024-10-13
327,111,856,3,15.86,47.58,2024-10-13
328,112,177,1,423.4,423.4,2024-02-02
329,112,362,1,256.37,256.37,2024-02-02
330,112,314,2,212.42,424.84,2024-02-02
331,112,807,1,553.49,553.49,2024-02-02
332,112,848,2,177.25,354.5,2024-02-02
333,113,137,1,363.24,363.24,2024-05-04
334,113,6,2,833.89,1667.78,2024-05-04
335,114,630,1,38.52,38.52,2023-09-23
336,114,261,2,127.18,254.36,2023-09-23
337,114,426,3,368.16,1104.48,2023-09-23
338,115,895,3,493.37,1480.1100000000001,2024-10-05
339,115,726,1,228.4,228.4,2024-10-05
340,115,457,1,476.67,476.67,2024-10-05
341,115,285,2,423.95,847.9,2024-10-05
342,116,624,3,117.91,353.73,2023-07-22
343,116,919,2,93.4,186.8,2023-07-22
344,116,45,1,261.74,261.74,2023-07-22
345,116,401,3,10.6,31.799999999999997,2023-07-22
346,117,758,1,306.42,306.42,2024-03-22
347,117,289,1,129.21,129.21,2024-03-22
348,117,414,2,205.52,411.04,2024-03-22
349,117,721,1,390.02,390.02,2024-03-22
350,117,638,2,12.3,24.6,2024-03-22
351,118,650,1,309.3,309.3,2024-11-28
352,118,115,3,84.88,254.64,2024-11-28
353,118,932,3,323.93,971.79,2024-11-28
354,119,127,3,739.79,2219.37,2024-10-25
355,119,147,1,311.65,311.65,2024-10-25
356,120,289,1,129.21,129.21,2024-01-03
357,120,958,3,291.47,874.4100000000001,2024-01-03
358,120,481,3,379.39,1138.17,2024-01-03
359,120,19,3,576.98,1730.94,2024-01-03
