product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
1,1,101,Diaz-Jackson Size,"Executive around state perform. Focus hand civil parent reason establish look. Hand another force security employee charge someone.
Dark various mention not team involve.",744.13,631.75,142,14.76,True,2023-01-29,Montes-Horn,SKU-81482,3.2,449
2,1,101,Harmon Ltd Recently,Door hot expert weight under. Deep son car none organization activity drive speak. Way ground experience turn instead hundred wear.,102.76,86.99,616,0.63,True,2023-01-21,Martin Group,SKU-81426,3.8,465
3,5,503,Davenport and Sons Carry,Whatever door fly expert. Necessary protect next her participant enter like. Then brother figure bank most.,811.34,650.12,825,3.28,True,2023-01-09,"Taylor, Austin and Mitchell",SKU-30379,3.4,795
4,3,301,Ortiz Ltd Budget,"Event protect instead tend. Laugh or home. Happen join office ability few difference.
Worry mouth effect eight hundred exactly mention. Trip property could father direction hair commercial.",101.82,83.42,867,6.94,True,2023-01-02,"Thompson, Murphy and Wu",SKU-70217,4.1,1016
5,4,401,Riley-Martinez Individual,"Sign knowledge cut. Among reveal never minute just move fast.
War claim light one also executive treat. Party national thousand ask. Whatever east wide accept.",556.52,537.53,633,17.72,True,2023-01-07,Wilson Group,SKU-19116,3.1,245
6,3,301,"Roberson, Delgado and Sanchez New","Police community nice particular.
Guy check admit able under. Size last and try baby show organization.
Wide bank ask turn poor benefit. Scene name thing.",856.76,833.89,389,5.63,True,2023-01-12,Rodriguez-Robinson,SKU-31319,3.7,234
7,3,301,Walker Ltd College,Technology stop chair issue push vote form. Number record especially must cost way college opportunity. Tough raise rule above dream already rule.,613.04,511.41,746,4.97,True,2023-01-09,"Wilson, Mccoy and Patterson",SKU-93886,4.4,243
8,3,301,Watson Inc Television,"Travel author there. Way because cell central. Practice mouth seven adult ago create inside shake.
Begin onto TV wrong section. Billion factor agent. Appear everything control sure choice treat hour.",236.76,190.93,323,8.08,False,2023-01-30,Freeman-Ortega,SKU-84341,4.8,342
9,2,204,Lawrence Inc Professional,"Involve certainly garden green word police. Arrive oil hear so while tell. Price off them after win.
Understand floor team store sing last him on. Against charge station follow.",401.68,394.81,469,2.94,True,2023-01-24,Wilson-Mccoy,SKU-83579,4.1,784
10,5,504,Harvey-Wolfe Suggest,"Especially down style store. Institution station dream price. Now hour activity remember box first amount. Street trouble position American.
Defense professional into rock threat mind.",898.84,790.88,224,19.95,True,2023-01-16,"Pierce, Harris and Wallace",SKU-21915,4.5,897
11,1,102,Elliott and Sons Hand,"Set life American ok system manager.
While manager quality unit employee full sense. Beat military produce practice oil evidence. Control candidate middle program party coach their.",631.17,604.92,432,11.97,True,2023-01-20,"Kirby, Ramos and Silva",SKU-71348,4.1,1011
12,5,501,"Dunn, Williams and Hahn Material",Nation student major condition six. Rather recently great everything finish mention goal. Example college letter easy professor trial.,683.48,562.44,906,10.79,True,2023-01-21,"Mitchell, Anderson and Warren",SKU-54587,3.2,458
13,2,204,Alvarez Group Weight,"Particularly stock color foot enough. Share above friend law worker.
See heart work better when draw. Story experience particularly generation. Of quality finally success.",13.21,12.48,736,5.34,True,2023-01-06,"Lopez, Barnes and Stein",SKU-76542,4.8,911
