product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
1,1,101,"Wagner, Vaughn and Rodriguez Product","Through feeling opportunity ability weight oil thing. Stay place window degree decide former.
At wrong born senior deep. Wait against concern series crime.",744.13,628.53,754,2.14,True,2025-01-05 10:23:44.104742,"Hansen, Whitehead and Allen",SKU-81482,3.2,59
2,1,101,"Walker, Andrade and David Pull","Firm product important common protect. Drive success energy represent score.
Four force old parent politics vote continue. Write increase increase involve consumer describe who.",102.76,92.59,27,11.27,True,2025-01-05 10:23:44.104742,"Reese, Ashley and Cox",SKU-81426,3.8,64
3,5,503,Ramirez Inc Seek,Site develop event among senior art. Ever thought develop effect east themselves state. Sometimes eight father once throughout character.,811.34,772.2,163,13.99,True,2025-01-12 10:23:44.104742,Vargas and Sons,SKU-30379,3.4,107
4,3,301,"Morgan, Martin and Wallace Prevent","Cup positive short wear company trouble can. Water effect already.
Employee past subject indicate dinner second. Trouble return interest page. Writer between American.",101.82,88.76,352,12.11,True,2025-01-09 10:23:44.104742,Browning-Rice,SKU-70217,4.1,55
5,1,105,Mullins Inc Both,"Glass culture collection. Out teacher experience table play resource.
Out detail by forget. Alone year discuss wife computer. Without machine I simple give experience current surface.",300.25,277.34,882,7.3,True,2024-12-23 10:23:44.104742,Ortega and Sons,SKU-19116,3.1,31
6,3,301,Smith-Long Available,Second American firm. Physical way money wife cup professor. Thought modern blood daughter more necessary really magazine.,856.76,702.72,284,9.12,True,2024-12-16 10:23:44.104742,"Colon, Jones and Oconnor",SKU-31319,3.7,28
7,3,301,"Stevenson, Vasquez and Warren Field","Identify listen huge. Get by provide election. Everything remember now management present offer as.
Ever present tough early.",613.04,555.92,250,3.35,True,2025-01-07 10:23:44.104742,Parker-Donovan,SKU-93886,4.4,32
8,3,301,Smith LLC Security,Week official bank career single information production. Huge out heavy agree pattern fish available notice.,236.76,227.53,410,5.43,True,2025-01-11 10:23:44.104742,Taylor-Thomas,SKU-84341,4.8,43
9,2,204,"Browning, Bush and Robles Year",Able coach election suggest speech stay. We food write likely once particularly. Audience upon religious own.,401.68,372.98,146,5.37,True,2024-12-14 10:23:44.104742,"Graves, Cooley and Sutton",SKU-83579,4.1,99
10,5,504,"Williams, Black and Solomon Stay",Five do instead stage leave pattern more. Represent view analysis. Want option system citizen that few impact. Senior leader table contain through clear civil.,898.84,784.15,141,10.24,False,2024-12-31 10:23:44.104742,"Bell, Lawson and Morris",SKU-16175,4.7,24
