subcategory_id,category_id,subcategory_name,created_at
101,1,Smartphones,2024-12-13 07:42:22.498875
102,1,Laptops,2024-12-13 07:42:22.498875
103,1,Accessories,2024-12-13 07:42:22.498875
104,1,Tablets,2024-12-13 07:42:22.498875
105,1,Wearables,2024-12-13 07:42:22.498875
201,2,Men's Clothing,2024-12-13 07:42:22.498875
202,2,Women's Clothing,2024-12-13 07:42:22.498875
203,2,Children's Clothing,2024-12-13 07:42:22.498875
204,2,Shoes,2024-12-13 07:42:22.498875
205,2,Accessories,2024-12-13 07:42:22.498875
301,3,Furniture,2024-12-13 07:42:22.498875
302,3,Kitchen,2024-12-13 07:42:22.498875
303,3,Decor,2024-12-13 07:42:22.498875
304,3,Bedding,2024-12-13 07:42:22.498875
305,3,Storage,2024-12-13 07:42:22.498875
401,4,Skincare,2024-12-13 07:42:22.498875
402,4,Makeup,2024-12-13 07:42:22.498875
403,4,Haircare,2024-12-13 07:42:22.498875
404,4,Fragrances,2024-12-13 07:42:22.498875
405,4,Tools,2024-12-13 07:42:22.498875
501,5,Exercise Equipment,2024-12-13 07:42:22.498875
502,5,Sportswear,2024-12-13 07:42:22.498875
503,5,Outdoor Gear,2024-12-13 07:42:22.498875
504,5,Accessories,2024-12-13 07:42:22.498875
505,5,Footwear,2024-12-13 07:42:22.498875
