ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,TOTAL_PRICE,CREATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,573,3,454.94,1364.82,2024-05-18 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14909,4948,543,1,677.63,677.63,2024-12-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14917,4953,121,2,778.22,1556.44,2024-08-21 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14916,4952,657,2,430.95,861.9,2024-09-02 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14915,4952,741,2,455.0,910.0,2024-09-02 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14914,4951,494,2,191.47,382.94,2024-01-13 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14913,4951,763,3,161.19,483.57,2024-01-13 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14912,4950,53,3,224.32,672.96,2024-07-13 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14911,4950,362,3,256.37,769.11,2024-07-13 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14910,4949,628,3,520.75,1562.25,2024-07-11 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14908,4948,781,1,257.79,257.79,2024-12-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14919,4954,38,3,848.74,2546.2200000000003,2024-01-14 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14907,4948,608,1,863.47,863.47,2024-12-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14906,4948,60,2,797.98,1595.96,2024-12-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14905,4947,293,3,70.23,210.69,2024-12-02 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14904,4947,81,3,818.56,2455.68,2024-12-02 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14903,4947,532,3,572.28,1716.84,2024-12-02 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14902,4946,811,1,509.12,509.12,2024-09-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14901,4946,29,3,216.54,649.62,2024-09-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14900,4946,987,2,190.21,380.42,2024-09-16 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14918,4954,747,1,446.1,446.1,2024-01-14 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14920,4954,813,3,68.49,205.46999999999997,2024-01-14 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14898,4945,282,2,261.68,523.36,2024-06-27 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14931,4959,459,2,426.22,852.44,2024-10-11 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14939,4961,648,2,896.01,1792.02,2024-06-09 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14938,4961,68,2,506.07,1012.14,2024-06-09 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
14937,4961,714,3,282.71,848.1299999999999,2024-06-09 00:00:00,historic,a6a699ad-5a27-4836-889a-448d1780f715,2025-01-26 20:06:21
