product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count,data_source,batch_id,loaded_at
1,1,101,"Gould, Avila and Mcclure Use",Name west present shoulder per just. Same suffer give continue. Such few politics speak matter study eye.,744.13,631.75,142,14.76,True,2023-01-29T00:00:00.000,Gonzales Group,SKU-81482,3.2,449,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
2,1,101,"Oliver, Pena and Forbes Must","General final front listen pass receive race them.
Stuff trade concern agent. If appear conference safe.
Myself out certain design tonight. Half lawyer apply seem.",102.76,86.99,616,0.63,True,2023-01-21T00:00:00.000,Pugh-Martin,SKU-81426,3.8,465,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
3,5,503,"Jacobs, Henry and Ferguson Very","Them author reduce network degree. Garden course hair might billion.
Trip side smile prevent mention real. Rate get line whether.",811.34,650.12,825,3.28,True,2023-01-09T00:00:00.000,"Walker, Carter and Roberts",SKU-30379,3.4,795,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
4,3,301,Johnson PLC Fact,"Everybody floor community tough others people. Tend growth available hot. Draw quality decade best particular past their.
Weight positive direction look moment item student.",101.82,83.42,867,6.94,True,2023-01-02T00:00:00.000,Mason PLC,SKU-70217,4.1,1016,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
5,4,401,James-Baker The,"Simple necessary sit system call remain treat. Form outside unit.
Information knowledge power could live. College beyond direction art. Newspaper half ahead.",556.52,537.53,633,17.72,True,2023-01-07T00:00:00.000,"Pace, Barr and Williams",SKU-19116,3.1,245,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
6,3,301,Schmitt LLC Deep,Push door party respond. Heart military apply try. Operation maybe discussion sort trip.,856.76,833.89,389,5.63,True,2023-01-12T00:00:00.000,"Hunter, Bennett and Harris",SKU-31319,3.7,234,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
7,3,301,"Freeman, Liu and Morse Success","Sure often face town yeah test perhaps. Bed assume law real task data success long.
Word peace magazine scientist rate. Threat could between over. Else television down laugh science idea fill.",613.04,511.41,746,4.97,True,2023-01-09T00:00:00.000,Vasquez-Zimmerman,SKU-93886,4.4,243,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
8,3,301,Jacobs PLC Learn,"Determine however much call. Mrs drop space toward.
Themselves per suggest report. Light recognize area eye sense skin human. Little free use their southern growth cell floor.",236.76,190.93,323,8.08,False,2023-01-30T00:00:00.000,"Smith, Johnson and Holloway",SKU-84341,4.8,342,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
9,2,204,Kline Ltd More,"Door true sure travel perhaps subject continue. Low between structure reason onto.
Central family scene week music cold. Several product result beyond know. On together its.",401.68,394.81,469,2.94,True,2023-01-24T00:00:00.000,Contreras-Logan,SKU-83579,4.1,784,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
10,5,504,"Chavez, Day and Wyatt Rule",Mean former general use. Main tonight red over evidence blood difficult movement. Outside option and total. City new listen detail.,898.84,790.88,224,19.95,True,2023-01-16T00:00:00.000,"Copeland, Marshall and Jones",SKU-21915,4.5,897,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
11,1,102,Edwards LLC Then,"Wall discussion turn rate executive really. Forward together society sell lay figure.
Not mention same good hot.",631.17,604.92,432,11.97,True,2023-01-20T00:00:00.000,"Michael, Thompson and Brown",SKU-71348,4.1,1011,historic,ad9d7f00-f7ce-4e93-8ac7-b0f9d788597e,2025-01-12 07:43:19
